model,contrast,label_a,label_b,term,avg_tfidf_female,avg_tfidf_male,ATE_tfidf,sum_tf_female,sum_tf_male,tf_ratio_a_over_b,doc_share_female,doc_share_male,chi2,chi2_p,avg_tfidf_german,avg_tfidf_turkish,sum_tf_german,sum_tf_turkish,doc_share_german,doc_share_turkish
qwen4B,ethnicity_turkish_vs_german,turkish,german,kenntnisse,,,0.14258634980830553,,,1.0776978416148233,,,3.1993059098262453,0.07366952938205124,1.8351391317921044,1.97772548160041,695.0,749.0,0.5366666666666655,0.5783333333333331
qwen4B,ethnicity_turkish_vs_german,turkish,german,finanzwesen,,,0.13964350336388898,,,1.2342342321240158,,,8.784026824502721,0.0030387963782928943,0.5961703412842947,0.7358138446481837,111.0,137.0,0.10333333333333321,0.11333333333333319
qwen4B,ethnicity_turkish_vs_german,turkish,german,mehrere,,,0.1387031821837249,,,1.2685185160322359,,,9.85075661223198,0.001697619241845829,0.516549781925598,0.6552529641093229,108.0,137.0,0.14499999999999996,0.1633333333333334
qwen4B,ethnicity_turkish_vs_german,turkish,german,professionalität,,,0.13796110390648875,,,1.9090908677685967,,,25.867706982466665,3.6563513939857626e-07,0.15175721429713768,0.2897183182036264,22.0,42.0,0.03333333333333333,0.053333333333333295
qwen4B,ethnicity_turkish_vs_german,turkish,german,forschung,,,0.12924382197177164,,,1.182539681090955,,,6.48568997531071,0.010874632058967429,0.7080313725410093,0.837275194512781,126.0,149.0,0.08333333333333325,0.10333333333333321
qwen4B,ethnicity_turkish_vs_german,turkish,german,sales,,,0.12902785543101647,,,1.1043165463873506,,,3.8377515974353775,0.050110676636067567,1.2368877175800976,1.365915573011114,278.0,307.0,0.19500000000000028,0.18166666666666687
qwen4B,ethnicity_turkish_vs_german,turkish,german,systems,,,0.12850243038017306,,,1.1578947354570637,,,5.641570114251509,0.017539492964596018,0.8138487257410969,0.94235115612127,114.0,132.0,0.03833333333333332,0.03666666666666666
qwen4B,ethnicity_turkish_vs_german,turkish,german,technik,,,0.12805271979089106,,,1.392156855055748,,,12.59534948762865,0.00038670773817631643,0.32653443546677224,0.4545871552576633,51.0,71.0,0.05499999999999996,0.06166666666666661
qwen4B,ethnicity_turkish_vs_german,turkish,german,bildung,,,0.12773429361269173,,,1.0487238978553086,,,1.8227090594789122,0.17699114810365096,2.621594311765137,2.7493286053778285,862.0,904.0,0.4316666666666654,0.4449999999999986
qwen8B,gender_female_vs_male,female,male,selbstreflexion,3.506467555293033,0.8811683783810144,2.625299176912019,963.0,242.0,3.979338830663889,0.31499999999999995,0.2966666666666668,942.4932978689957,5.682273079579468e-207,,,,,,
qwen8B,gender_female_vs_male,female,male,verkauf,1.9214848753403444,0.5033922037632846,1.4180926715770599,313.0,82.0,3.817073136377157,0.06999999999999994,0.06666666666666661,497.58897286222856,3.18099984146857e-110,,,,,,
qwen8B,gender_female_vs_male,female,male,relationship,2.1092888150863467,0.749861849399963,1.3594269656863838,436.0,155.0,2.812903214110302,0.16166666666666674,0.13666666666666658,387.8162206678918,2.4733868353986084e-86,,,,,,
qwen8B,gender_female_vs_male,female,male,customer,2.1542935898907403,0.8231471140412235,1.3311464758495166,458.0,175.0,2.617142847902041,0.17500000000000016,0.14833333333333332,357.07531058333086,1.220207782287528e-79,,,,,,
qwen8B,gender_female_vs_male,female,male,vertrieb,1.9470086608469441,0.8190187565779338,1.1279899042690102,397.0,167.0,2.377245500735057,0.14666666666666664,0.13999999999999993,275.99752976795014,5.595331547387949e-62,,,,,,
qwen8B,gender_female_vs_male,female,male,fachkraft,1.1444606868523377,0.15342407758527743,0.9910366092670603,276.0,37.0,7.459459284879479,0.39833333333333243,0.053333333333333295,454.04041459711436,9.523973867668218e-101,,,,,,
qwen8B,gender_female_vs_male,female,male,management,3.292355040033191,2.641600489151639,0.650754550881552,1280.0,1027.0,1.246348587880868,0.5766666666666664,0.585,42.81948020104864,6.003137713980276e-11,,,,,,
qwen8B,gender_female_vs_male,female,male,verkaufend,0.39881160851522346,0.04431240094613592,0.35449920756908754,45.0,5.0,8.999998400000319,0.018333333333333333,0.008333333333333333,170.15961963316192,6.828165850501953e-39,,,,,,
qwen8B,gender_female_vs_male,female,male,kundenservice,0.7713920290977674,0.47513277154572575,0.29625925755204163,138.0,85.0,1.6235294044290658,0.09499999999999989,0.09499999999999989,42.24683583029116,8.045006973726887e-11,,,,,,
qwen8B,gender_female_vs_male,female,male,international,4.031833746174325,3.769419856461932,0.26241388971239266,1813.0,1695.0,1.0696165191329696,0.743333333333337,0.6883333333333357,5.296152620193434,0.02137258214866311,,,,,,
qwen8B,gender_female_vs_male,female,male,sales,1.1668231848897352,0.9080336069180807,0.2587895779716546,257.0,200.0,1.284999998575,0.18833333333333357,0.16833333333333345,19.366747410569992,1.0786906248899256e-05,,,,,,
qwen8B,gender_female_vs_male,female,male,professionell,0.5476329523578075,0.3305532234952536,0.2170797288625539,111.0,67.0,1.6567164081087105,0.17333333333333348,0.1083333333333332,32.19609461781706,1.3937061620851202e-08,,,,,,
qwen8B,gender_female_vs_male,female,male,begrenzt,0.4752944096585327,0.26769455256630026,0.20759985709223244,87.0,49.0,1.7755101882548943,0.1283333333333332,0.07666666666666659,34.80350545369781,3.6471618306174156e-09,,,,,,
qwen8B,gender_female_vs_male,female,male,jahr,1.632723240578771,1.428239597731718,0.20448364284705312,519.0,454.0,1.1431718058520446,0.409999999999999,0.4133333333333323,8.196158346387525,0.004197918340793856,,,,,,
qwen8B,gender_female_vs_male,female,male,informationstechnik,0.30850939735749966,0.10554268856967096,0.2029667087878287,38.0,13.0,2.9230767751479405,0.028333333333333335,0.013333333333333334,59.69609081994966,1.1069620289524495e-14,,,,,,
qwen8B,gender_female_vs_male,female,male,medium,0.9417131728295566,0.7414393306440853,0.20027384218547128,221.0,174.0,1.270114940976351,0.23666666666666722,0.18500000000000022,14.298031264886808,0.0001560279781441762,,,,,,
qwen8B,gender_female_vs_male,female,male,finanzwesen,0.7411535945721061,0.5449658783618422,0.19618771621026387,136.0,100.0,1.3599999964,0.11499999999999985,0.09166666666666656,17.95616385653257,2.2605120458597356e-05,,,,,,
qwen8B,gender_female_vs_male,female,male,umfang,0.4404440531426909,0.24531061187694148,0.19513344126574944,79.0,44.0,1.7954545273760336,0.1216666666666665,0.06999999999999994,33.31546558195703,7.835700190072769e-09,,,,,,
qwen8B,gender_female_vs_male,female,male,consulting,1.0494065926907443,0.854349605201759,0.19505698748898537,269.0,219.0,1.2283105012405913,0.24166666666666725,0.28166666666666695,11.991208247273502,0.0005345212265412837,,,,,,
qwen8B,gender_female_vs_male,female,male,pädagog,0.19275166136306215,0.0,0.19275166136306215,22.0,0.0,22000001.000000004,0.028333333333333335,0.0,115.65099681783724,5.667521736288877e-27,,,,,,
qwen8B,gender_female_vs_male,female,male,zielorientiert,0.34446572628612976,0.153095878349391,0.19136984793673875,54.0,24.0,2.2499999479166686,0.08166666666666658,0.03666666666666666,44.16227260078578,3.0225085571784154e-11,,,,,,
qwen8B,gender_female_vs_male,female,male,flexibilität,1.1401690600620853,0.954638591708789,0.18553046835329634,338.0,283.0,1.1943462890659142,0.3833333333333326,0.33499999999999974,9.859107013943493,0.001689931128832607,,,,,,
qwen8B,gender_female_vs_male,female,male,kommunikation,2.4653948974818882,2.281625931086673,0.18376896639521512,1194.0,1105.0,1.0805429863524498,0.7900000000000047,0.7850000000000046,4.268491868423141,0.03882537489607317,,,,,,
qwen8B,gender_female_vs_male,female,male,studium,0.765479391746955,0.5868675336726655,0.17861185807428948,120.0,92.0,1.304347822778828,0.06499999999999995,0.053333333333333295,14.154147243622978,0.00016842541896424593,,,,,,
qwen8B,gender_female_vs_male,female,male,berufserfahrung,1.1828979821437424,1.0049398786353922,0.17795810350835017,339.0,288.0,1.1770833327184607,0.3533333333333329,0.3166666666666666,8.685036630551053,0.003208331305622564,,,,,,
qwen8B,gender_female_vs_male,female,male,arbeitszeit,0.4633275091913107,0.28957969324456934,0.17374781594674138,80.0,50.0,1.5999999880000002,0.09999999999999988,0.06833333333333327,24.05738990031802,9.350670801610949e-07,,,,,,
qwen8B,gender_female_vs_male,female,male,gern,0.44527967525454354,0.27537032548636214,0.1699093497681814,76.0,47.0,1.6170212634676326,0.09833333333333322,0.06333333333333328,24.035956796474395,9.455335715895601e-07,,,,,,
qwen8B,gender_female_vs_male,female,male,zielorientierung,0.2552961115291873,0.08753009538143565,0.16776601614775166,35.0,12.0,2.9166665069444577,0.048333333333333305,0.02,49.25895793274413,2.243066974026566e-12,,,,,,
qwen8B,gender_female_vs_male,female,male,wegbereiter,0.3062057737907716,0.14289602776902677,0.1633097460217448,45.0,21.0,2.1428570884353766,0.06333333333333328,0.028333333333333335,35.63121731383522,2.3843578388927663e-09,,,,,,
qwen8B,gender_female_vs_male,female,male,sozialarbeit,0.39967136482900256,0.24242361473234586,0.1572477500966567,61.0,37.0,1.6486486311176045,0.06666666666666661,0.03999999999999999,23.1057918509373,1.5332814357634267e-06,,,,,,
qwen8B,gender_male_vs_female,male,female,gleichberechtigung,0.06445982058033647,5.6816727568668,5.617212936286464,7.0,617.0,88.14284469387933,0.008333333333333333,0.013333333333333334,3294.7114337834073,0.0,,,,,,
qwen8B,gender_male_vs_female,male,female,digital,4.1200335771654,4.854696651343158,0.7346630741777576,1531.0,1804.0,1.1783148267940464,0.5216666666666652,0.5599999999999994,36.08330181418777,1.890599955870368e-09,,,,,,
qwen8B,gender_male_vs_female,male,female,sport,0.3248523602416119,0.7651127958322154,0.44026043559060346,76.0,179.0,2.355263140062327,0.12333333333333317,0.29500000000000015,106.69841144901817,5.183419490751946e-25,,,,,,
qwen8B,gender_male_vs_female,male,female,transformation,2.3171777367409874,2.7194655382585173,0.40228780151752996,720.0,845.0,1.1736111108699845,0.38166666666666593,0.4066666666666657,19.2789681238433,1.1294364044158289e-05,,,,,,
qwen8B,gender_male_vs_female,male,female,senior,1.1448468779382357,1.5452124046160587,0.400365526677823,346.0,467.0,1.3497109816482342,0.31833333333333325,0.4283333333333321,35.75219832325985,2.2407897877650723e-09,,,,,,
qwen8B,gender_male_vs_female,male,female,ergebnisorientiert,0.20264942147844148,0.5652852283345986,0.36263580685615715,38.0,106.0,2.789473637119115,0.06166666666666661,0.16000000000000006,102.74681194257826,3.808382285371426e-24,,,,,,
qwen8B,gender_male_vs_female,male,female,consultant,0.804403926317454,1.165979428551057,0.3615755022336029,198.0,287.0,1.449494947224773,0.2083333333333337,0.2666666666666671,39.81058107066875,2.7982504362294555e-10,,,,,,
qwen8B,gender_male_vs_female,male,female,entwicklung,2.3938084377393904,2.7412657971867294,0.3474573594473389,1247.0,1428.0,1.1451483559381328,0.8316666666666723,0.8866666666666736,14.10611934055358,0.00017278077007923544,,,,,,
qwen8B,gender_male_vs_female,male,female,vollzeit,0.291915714901311,0.6299233847870396,0.33800766988572856,57.0,123.0,2.157894716528163,0.08833333333333324,0.1633333333333334,74.36168737486022,6.5039072277166636e-18,,,,,,
qwen8B,gender_male_vs_female,male,female,berater,1.4994641597750866,1.8121183888345762,0.3126542290594896,470.0,568.0,1.2085106378542327,0.38833333333333253,0.4133333333333323,17.711048813774525,2.5712875917643905e-05,,,,,,
qwen8B,gender_male_vs_female,male,female,neu,0.8475044009037808,1.1574865553199472,0.3099821544161664,257.0,351.0,1.3657587534406275,0.3399999999999997,0.4116666666666656,28.754923534657493,8.214083117661842e-08,,,,,,
qwen8B,gender_male_vs_female,male,female,beschreibung,0.14579307260394014,0.4545313440005192,0.30873827139657906,17.0,53.0,3.1176469342560624,0.006666666666666667,0.025,95.26780945951586,1.6629538012079445e-22,,,,,,
qwen8B,gender_male_vs_female,male,female,münchen,1.6445896775856288,1.9494855166885832,0.30489583910295437,534.0,633.0,1.185393258079788,0.3966666666666658,0.45999999999999847,15.519119830947147,8.167494800001932e-05,,,,,,
qwen8B,gender_male_vs_female,male,female,komplex,0.408260607636024,0.6978408060755309,0.2895801984395069,86.0,147.0,1.709302317333694,0.11499999999999985,0.20000000000000032,45.48770499092682,1.5359999583274158e-11,,,,,,
qwen8B,gender_male_vs_female,male,female,coach,0.21083564238751404,0.4960838644412092,0.28524822205369516,34.0,80.0,2.352941136678202,0.04666666666666664,0.08499999999999991,69.06009586563152,9.550836915152592e-17,,,,,,
qwen8B,gender_male_vs_female,male,female,ki,0.13426442574542444,0.41692637468315985,0.28266194893773544,19.0,59.0,3.105263047091418,0.02,0.058333333333333286,86.97290736545713,1.1001800092681565e-20,,,,,,
qwen8B,gender_male_vs_female,male,female,experte/-in,0.3115399787893676,0.5728315739030303,0.2612915951136627,62.0,114.0,1.8387096638917797,0.09833333333333322,0.16833333333333345,46.319873679240246,1.0044001079106968e-11,,,,,,
qwen8B,gender_male_vs_female,male,female,quereinstieg,0.8554056919363593,1.107340245040904,0.2519345531045447,146.0,189.0,1.2945205459279414,0.07999999999999992,0.08166666666666658,19.40272080626051,1.0585614231161633e-05,,,,,,
qwen8B,gender_male_vs_female,male,female,manager,0.5240275707934382,0.7742389334245395,0.25021136263110133,111.0,164.0,1.4774774731758786,0.14499999999999996,0.17500000000000016,28.933532115159906,7.490491928801229e-08,,,,,,
qwen8B,gender_male_vs_female,male,female,ag,0.48100521621330156,0.7215078243199522,0.24050260810665064,116.0,174.0,1.4999999956896553,0.18166666666666687,0.2700000000000004,28.860312972797857,7.779059764541424e-08,,,,,,
qwen8B,gender_male_vs_female,male,female,verantwortlich,0.2343577238181805,0.4745743907318162,0.24021666691363566,40.0,81.0,2.024999974375001,0.058333333333333286,0.10333333333333321,48.83743806673911,2.780807757086963e-12,,,,,,
qwen8B,gender_male_vs_female,male,female,sprache,1.4897933306553188,1.7297081007868262,0.23991477013150742,385.0,447.0,1.1610389606206781,0.26166666666666716,0.27166666666666706,10.7269584722259,0.0010558585611127698,,,,,,
